Codice Ripartizione geografica,Codice Regione,Codice Provincia/Uts,Codice Comune,Comune,Targa,Capoluogo di Provincia/Uts,Capoluogo di Regione,Superficie (Kmq),Anno,Popolazione
1,1,2,2131,San Germano Vercellese,VC,False,False,30.6327,2020,1474
1,1,2,2133,Santhià,VC,False,False,53.1294,2020,8122
1,1,2,2134,Scopa,VC,False,False,22.5335,2020,373
1,1,2,2135,Scopello,VC,False,False,18.2544,2020,366
1,1,2,2137,Serravalle Sesia,VC,False,False,20.9053,2020,4717
1,1,2,2142,Stroppiana,VC,False,False,18.314,2020,1178
1,1,2,2147,Tricerro,VC,False,False,12.2491,2020,672
1,1,2,2148,Trino,VC,False,False,70.6054,2020,6771
1,1,2,2150,Tronzano Vercellese,VC,False,False,44.7508,2020,3383
1,1,2,2152,Valduggia,VC,False,False,28.4259,2020,1882
1,1,2,2156,Varallo,VC,False,False,102.973,2020,6931
1,1,2,2158,Vercelli,VC,True,False,79.7743,2020,45425
1,1,2,2163,Villarboit,VC,False,False,25.5109,2020,398
1,1,2,2164,Villata,VC,False,False,14.5822,2020,1517
1,1,2,2166,Vocca,VC,False,False,20.2573,2020,158
1,1,2,2170,Alto Sermenza,VC,False,False,60.3259,2020,149
1,1,2,2171,Cellio con Breia,VC,False,False,17.2793,2020,941
1,1,3,3001,Agrate Conturbia,NO,False,False,14.5364,2020,1551
1,1,3,3002,Ameno,NO,False,False,9.9965,2020,884
1,1,3,3006,Armeno,NO,False,False,31.5154,2020,2102
1,1,3,3008,Arona,NO,False,False,15.1698,2020,13796
1,1,3,3012,Barengo,NO,False,False,19.4928,2020,747
1,1,3,3016,Bellinzago Novarese,NO,False,False,39.1786,2020,9455
1,1,3,3018,Biandrate,NO,False,False,12.4536,2020,1328
1,1,3,3019,Boca,NO,False,False,9.608,2020,1129
1,1,3,3021,Bogogno,NO,False,False,8.5097,2020,1293
1,1,3,3022,Bolzano Novarese,NO,False,False,3.3043,2020,1157
1,1,3,3023,Borgolavezzaro,NO,False,False,21.0913,2020,1967
1,1,3,3024,Borgomanero,NO,False,False,32.2699,2020,21383
1,1,3,3025,Borgo Ticino,NO,False,False,13.3738,2020,5159
1,1,3,3026,Briga Novarese,NO,False,False,4.7479,2020,2801
